iter	Passed	Remaining
575	5173	3808
576	5183	3799
577	5191	3790
578	5203	3783
579	5211	3773
580	5220	3764
581	5227	3754
582	5241	3748
583	5250	3740
584	5258	3730
585	5267	3721
586	5274	3711
587	5290	3707
588	5301	3699
589	5310	3690
590	5319	3681
591	5329	3673
592	5338	3664
593	5348	3655
594	5357	3646
595	5371	3641
596	5382	3633
597	5395	3626
598	5405	3618
599	5415	3610
600	5426	3602
601	5435	3593
602	5447	3586
603	5455	3577
604	5466	3569
605	5475	3560
606	5484	3550
607	5493	3542
608	5502	3532
609	5511	3523
610	5520	3514
611	5530	3506
612	5538	3496
613	5547	3487
614	5555	3477
615	5566	3469
616	5574	3460
617	5582	3450
618	5590	3441
619	5600	3432
620	5612	3425
621	5620	3415
622	5629	3406
623	5637	3396
624	5646	3387
625	5653	3377
626	5662	3368
627	5671	3359
628	5678	3349
629	5685	3339
630	5695	3330
631	5702	3320
632	5713	3312
633	5722	3303
634	5730	3293
635	5738	3284
636	5746	3274
637	5754	3265
638	5762	3255
639	5772	3246
640	5779	3237
641	5788	3228
642	5796	3218
643	5804	3208
644	5813	3199
645	5821	3190
646	5829	3180
647	5839	3171
648	5848	3163
649	5936	3196
650	5997	3215
651	6007	3206
652	6028	3203
653	6037	3194
654	6045	3184
655	6055	3175
656	6063	3165
657	6073	3156
658	6081	3146
659	6089	3137
660	6099	3128
661	6107	3118
662	6117	3109
663	6125	3099
664	6133	3089
665	6141	3080
666	6151	3070
667	6158	3061
668	6167	3051
669	6174	3041
670	6183	3032
671	6191	3022
672	6199	3012
673	6207	3002
674	6218	2994
675	6225	2983
676	6234	2974
677	6242	2964
678	6252	2955
679	6259	2945
680	6272	2938
681	6281	2928
682	6289	2919
683	6297	2909
684	6304	2898
685	6313	2889
686	6321	2880
687	6329	2870
688	6337	2860
689	6348	2852
690	6358	2843
691	6367	2834
692	6375	2824
693	6385	2815
694	6392	2805
695	6402	2796
696	6409	2786
697	6417	2776
698	6425	2766
699	6435	2758
700	6442	2748
701	6452	2739
702	6460	2729
703	6468	2719
704	6476	2710
705	6484	2700
706	6493	2691
707	6500	2681
708	6508	2671
709	6517	2662
710	6525	2652
711	6534	2643
712	6550	2636
713	6560	2627
714	6568	2618
715	6577	2608
716	6584	2598
717	6599	2592
718	6607	2582
719	6616	2573
720	6625	2563
721	6633	2554
722	6641	2544
723	6649	2535
724	6658	2525
725	6666	2515
726	6675	2506
727	6684	2497
728	6693	2488
729	6700	2478
730	6710	2469
731	6717	2459
732	6726	2450
733	6733	2440
734	6743	2431
735	6751	2421
736	6760	2412
737	6768	2402
738	6779	2394
739	6786	2384
740	6794	2374
741	6802	2365
742	6810	2355
743	6818	2346
744	6826	2336
745	6834	2327
746	6844	2317
747	6851	2308
748	6860	2299
749	6868	2289
750	6878	2280
751	6889	2271
752	6896	2262
753	6905	2252
754	6913	2243
755	6926	2235
756	6935	2226
757	6945	2217
758	6954	2208
759	6962	2198
760	6973	2190
761	6982	2180
762	6991	2171
763	7002	2162
764	7010	2153
765	7020	2144
766	7028	2135
767	7039	2126
768	7049	2117
769	7058	2108
770	7068	2099
771	7076	2090
772	7088	2081
773	7097	2072
774	7107	2063
775	7118	2054
776	7127	2045
777	7138	2036
778	7147	2027
779	7156	2018
780	7167	2009
781	7176	2000
782	7186	1991
783	7203	1984
784	7212	1975
785	7222	1966
786	7232	1957
787	7240	1947
788	7255	1940
789	7265	1931
790	7274	1921
791	7299	1916
792	7307	1907
793	7316	1898
794	7325	1888
795	7334	1879
796	7343	1870
797	7353	1861
798	7366	1853
799	7375	1843
800	7386	1835
801	7397	1826
802	7407	1817
803	7416	1808
804	7426	1799
805	7437	1790
806	7453	1782
807	7466	1774
808	7477	1765
809	7487	1756
810	7499	1747
811	7509	1738
812	7518	1729
813	7532	1721
814	7543	1712
815	7552	1702
816	7562	1693
817	7570	1684
818	7585	1676
819	7596	1667
820	7606	1658
821	7615	1649
822	7625	1640
823	7635	1630
824	7646	1621
825	7654	1612
826	7669	1604
827	7680	1595
828	7690	1586
829	7707	1578
830	7716	1569
831	7726	1560
832	7735	1550
833	7745	1541
834	7755	1532
835	7765	1523
836	7780	1515
837	7792	1506
838	7805	1497
839	7814	1488
840	7823	1479
841	7830	1469
842	7838	1459
843	7846	1450
844	7858	1441
845	7865	1431
846	7874	1422
847	7881	1412
848	7890	1403
849	7898	1393
850	7909	1384
851	7917	1375
852	7925	1365
853	7935	1356
854	7943	1347
855	7951	1337
856	7960	1328
857	7968	1318
858	7976	1309
859	7984	1299
860	7995	1290
861	8004	1281
862	8013	1272
863	8023	1262
864	8032	1253
865	8040	1244
866	8049	1234
867	8056	1225
868	8071	1216
869	8080	1207
870	8088	1197
871	8096	1188
872	8121	1181
873	8129	1172
874	8137	1162
875	8145	1153
876	8154	1143
877	8162	1134
878	8171	1124
879	8180	1115
880	8188	1106
881	8196	1096
882	8205	1087
883	8213	1077
884	8221	1068
885	8233	1059
886	8240	1049
887	8249	1040
888	8256	1030
889	8266	1021
890	8273	1012
891	8283	1002
892	8292	993
893	8300	984
894	8308	974
895	8317	965
896	8325	955
897	8335	946
898	8347	937
899	8354	928
900	8363	918
901	8370	909
902	8378	900
903	8386	890
904	8394	881
905	8403	871
906	8412	862
907	8420	853
908	8432	844
909	8440	834
910	8448	825
911	8455	815
912	8463	806
913	8472	797
914	8485	788
915	8494	778
916	8502	769
917	8509	760
918	8517	750
919	8525	741
920	8533	731
921	8542	722
922	8551	713
923	8562	704
924	8569	694
925	8578	685
926	8585	676
927	8597	667
928	8606	657
929	8613	648
930	8621	638
931	8629	629
932	8636	620
933	8647	611
934	8656	601
935	8663	592
936	8672	583
937	8679	573
938	8688	564
939	8696	555
940	8705	545
941	8712	536
942	8725	527
943	8733	518
944	8742	508
945	8749	499
946	8758	490
947	8765	480
948	8773	471
949	8781	462
950	8789	452
951	8797	443
952	8815	434
953	8826	425
954	8835	416
955	8857	407
956	8866	398
957	8874	389
958	8881	379
959	8889	370
960	8896	361
961	8904	351
962	8912	342
963	8920	333
964	8930	323
965	8938	314
966	8947	305
967	8957	296
968	8967	286
969	8974	277
970	8982	268
971	8991	259
972	9001	249
973	9009	240
974	9017	231
975	9025	221
976	9034	212
977	9041	203
978	9050	194
979	9057	184
980	9065	175
981	9074	166
982	9085	157
983	9092	147
984	9101	138
985	9110	129
986	9118	120
987	9126	110
988	9137	101
989	9144	92
990	9154	83
991	9168	73
992	9175	64
993	9184	55
994	9192	46
995	9201	36
996	9208	27
997	9216	18
998	9223	9
999	9232	0
